Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,10u,,,,,~
"C2,C3,C4",3,0u1,,,,,~
J1,1,SPI,,,,,~
J2,1,RGB1,,,,,~
J3,1,RGB3,,,,,~
J4,1,RGB2,,,,,~
J5,1,4pin molex,,,,,~
"R1,R2,R3",3,33,,,,,~
"R4,R5,R6,RR1,RR2,RR3",6,2k7,,,,,~
U1,1,ATtiny25-20S,,,,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf
"U2,U3,U4",3,WS2811,,,,,https://cdn-shop.adafruit.com/datasheets/WS2811.pdf
